t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
122,0.050633401016690206,0.04192274959160968,0.03862970789486606,0.03159520682401974,6.227908325052896,5.156498199767991,4.751454071068526,3.886210439354433
123,0.05025232078784346,0.04295323686910301,0.03958363659525843,0.03164474246402969,6.231287777692587,5.326201371768775,4.9083709378120455,3.923948065539684
124,0.04938356854364883,0.04173903890150146,0.03897421549799573,0.03113569621748273,6.172946067956108,5.217379862687684,4.871776937249466,3.8919620271853423
125,0.04998806397691278,0.0428246419045239,0.03833121012677428,0.030094906744648264,6.298496061091006,5.395904879970013,4.829732475973559,3.7919582498256834
126,0.05065076374391445,0.04216943740743698,0.038055122783522216,0.030495931859900904,6.4326469954771355,5.355518550744496,4.83300059350732,3.872983346207416
127,0.05066884066636701,0.04075092767651691,0.037721641464631216,0.030255028093157738,6.485611605294974,5.216118742594162,4.828370107472793,3.872643595924189
128,0.04995261513494725,0.039877793831694985,0.03701499654670797,0.02950242425387624,6.443887352408198,5.1442354042886524,4.774934554525329,3.8058127287500363
129,0.04985809823402986,0.03883222181721371,0.036500619654044816,0.030504937799418163,6.48155277042388,5.048188836237783,4.745080555025827,3.965641913924363
130,0.04947130304128139,0.03851987205047808,0.03756861727709383,0.030221377141006495,6.4807406984078595,5.046103238612626,4.921488863299291,3.959000405471856
131,0.04796842949901325,0.037556443433599776,0.03641510180483871,0.029196297010448503,6.331832693869755,4.957450533235171,4.806793438238712,3.8539112053792017
132,0.049037800402864005,0.038452794414244595,0.03638540087502094,0.030321508119494328,6.522027453580915,5.114221657094532,4.839258316377789,4.032760579892741
133,0.04805212598806767,0.03832868613016272,0.036196965406014865,0.030434203657204263,6.4389848824010665,5.136043941441803,4.850393364405993,4.078183290065371
134,0.048329244074285446,0.03832271420184271,0.03608723657221824,0.028779219032602135,6.524447950028537,5.1735664172487645,4.871776937249465,3.8851945694012886
135,0.04770472707445867,0.03817720044907135,0.035901237861464194,0.028072751150000408,6.487842882126376,5.192099261073704,4.882568349159131,3.8178941564000533
136,0.04850323120649884,0.03777810694628214,0.03637128012636965,0.0293025371722194,6.6449426752903396,5.1756006516406545,4.982865377312641,4.014447592594057
137,0.04990622320561458,0.03771011913032043,0.036835175663387607,0.02903076177392775,6.887058802374815,5.203996439984218,5.083254241547488,4.006245124802026
138,0.04934196338478662,0.037353232094055396,0.03627099625214775,0.029476078368165116,6.858532910485342,5.192099261073705,5.0416684790485355,4.097174893174948
139,0.0491113292815656,0.03767369369417915,0.036706151639830466,0.028231055261945255,6.875586099419183,5.274317117185085,5.138861229576267,3.952347736672337
140,0.049537289656468725,0.03738703703038123,0.03749133450646378,0.02734964809502919,6.984757841562097,5.271572221283755,5.286278165411393,3.856300381399114
141,0.04881556852288274,0.035680710532795194,0.03670657430670212,0.027795898086364228,6.931810730249349,5.066660895656916,5.212333551551701,3.9470175282637214
142,0.04893921724617068,0.0362374299799804,0.03643399382465808,0.028008809089786278,6.998308066202407,5.181952487137195,5.210061116926103,4.005259699839436
143,0.048117797639154566,0.036322760322955665,0.03667048757337972,0.026968755988090377,6.928962860038254,5.230477486505616,5.280550210566678,3.883500862285011
144,0.047602248801862604,0.03618139279802613,0.03604448927137085,0.026285106337904415,6.902326076270079,5.246301955713788,5.226450944348775,3.8113404189961417
145,0.047259229061727484,0.03619374340761368,0.036777428319355696,0.025615744354806007,6.899847443012208,5.284286537511598,5.36950453462593,3.7398986758016797
146,0.046996078494267055,0.035996616477069254,0.036552238136725305,0.02510660562773201,6.90842353865726,5.291502622129181,5.373179006098619,3.6906710272766046
147,0.046154399109390426,0.03618759617322957,0.03612113588541387,0.025590842109570633,6.830851068189776,5.355764233637977,5.345928111041247,3.7874446322164594
148,0.04587694620919192,0.03608296319910541,0.03592988376983138,0.02485320887863581,6.835664985169599,5.376361516666707,5.353552681704876,3.703128122916738
149,0.04449061928854626,0.037269368762473234,0.03536112776376267,0.025168438417940454,6.6735928932819375,5.590405314370987,5.304169164564398,3.775265762691068
150,0.04390778157243042,0.03712062078380082,0.0357280092266628,0.025556483821524627,6.630075017436991,5.605213738353925,5.3949293932260804,3.8590290570502184
151,0.04535984648164722,0.03797207357365046,0.035555479462982105,0.026779161439239123,6.894696665210377,5.77175518319487,5.404432878373281,4.070432538764348
152,0.04495347824170417,0.037850328431210646,0.03581612718313413,0.026946316911400134,6.877882170980741,5.791100249975228,5.47986745901952,4.122786487444217
153,0.044466110692674206,0.03841032519572738,0.03690610655092633,0.026771340827559865,6.847781046671827,5.915190080142017,5.683540408842658,4.122786487444218
154,0.043680551507369395,0.03873654981233054,0.03761322065057811,0.027082217773377024,6.770485483642256,6.00416522091123,5.830049200839607,4.197743754873439
155,0.044147812835735975,0.03822888473321715,0.03647003323264801,0.027768909273244467,6.887058802374813,5.963706018381877,5.6893251842930885,4.331949846626138
156,0.04321314443192761,0.037334782016053315,0.03633189475578201,0.026566976271418588,6.784463675812629,5.861560776520372,5.704107476657779,4.171015274612722
157,0.04265021067837402,0.037132568144846716,0.03576015693936598,0.026077420836473124,6.738733287183093,5.866945766885779,5.650104796419826,4.120232492162752
158,0.04241143297728423,0.037851527428845025,0.03681430190079308,0.026321930253111782,6.7434178433881895,6.01839286118636,5.853474002226101,4.185186910244776
159,0.04183300132670378,0.03832829748577273,0.036515306361637016,0.02674040654338043,6.693280212272598,6.132527597723642,5.842449017861926,4.27846504694087
160,0.04087374818495219,0.038630134532309804,0.03646711417071456,0.026505461654951924,6.580673457777303,6.219451659701876,5.871205381485043,4.267379326447261
161,0.04120353639300876,0.03891698398283518,0.0365793685148908,0.028029328117962122,6.674972895667425,6.304551405219298,5.925857699412315,4.540751155109865
162,0.04177449659043037,0.03917060904694576,0.03702980223319458,0.028679017405231478,6.809242944240147,6.384809274652158,6.035857764010716,4.674679837052733
163,0.042304160241783385,0.03861507095114317,0.03750841353376391,0.028668435730587066,6.9378822796524755,6.3328716359874795,6.151379819537283,4.701623459816274
164,0.042595916039168485,0.03850173561104838,0.03784719575699894,0.028865420624921707,7.0283261464628,6.352786375822981,6.244787299904828,4.762794403112084
165,0.04156534604224222,0.03837321773154036,0.036641844650571256,0.02839711537624531,6.899847443012207,6.369954143435703,6.082546211994827,4.713921152456726
166,0.04113907553848543,0.037746805575828934,0.03657754319087519,0.028238770340043243,6.870225614927066,6.303716531163435,6.10844971287616,4.715874646787223
167,0.04087139366240049,0.03830782437105922,0.03627895298770669,0.027201931932260916,6.866394135283286,6.435714494337952,6.0948641019347285,4.569924564619834
168,0.04070092348588405,0.03898973723558092,0.036601905915394126,0.026840901829961128,6.878456069114404,6.589265592813175,6.185722099701606,4.536112409263429
169,0.04001456664287183,0.03824600945351758,0.036839243326153744,0.02691406967070013,6.802476329288207,6.501821607097991,6.262671365446134,4.5753918440190215
170,0.039865309906586516,0.03846007772621083,0.03671584279515677,0.025276135763517074,6.8169679940262995,6.576673291182051,6.278409117971811,4.322219215561425
171,0.03985734110519785,0.038491524385843495,0.037126974405627566,0.023805842574323617,6.855462670094019,6.620542194365082,6.3858395977679425,4.094604922783662
172,0.0384741167856089,0.03833674967004326,0.036345854695855266,0.023242760228903307,6.656022203910333,6.632257692917484,6.287832862382966,4.020997519600277
173,0.03801252497701135,0.03788884709606884,0.035715999231749146,0.02361517297655268,6.614179345999975,6.5926593947159775,6.214583866324353,4.10904009792017
