cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0.6104046242774566,0.6241329479768786,0.655635838150289,134.8,130.05,119.15
0.6099423631123919,0.6231988472622478,0.6550432276657061,135.35,130.75,119.7
0.6100574712643678,0.6231321839080459,0.655316091954023,135.7,131.15,119.95
0.6097421203438396,0.6229226361031518,0.6550143266475644,136.2,131.6,120.4
0.6098571428571429,0.6227142857142857,0.655,136.55,132.05,120.75
0.60997150997151,0.6226495726495727,0.6552706552706553,136.9,132.45,121.0
0.6096590909090909,0.6225852272727272,0.654971590909091,137.4,132.85,121.45
0.6100566572237961,0.623229461756374,0.6550991501416431,137.65,133.0,121.75
0.6101694915254237,0.6231638418079096,0.6548022598870056,138.0,133.4,122.2
0.6102816901408451,0.6228169014084507,0.6550704225352113,138.35,133.9,122.45
0.6103932584269663,0.622752808988764,0.6547752808988764,138.7,134.3,122.9
0.6100840336134453,0.6222689075630252,0.6544817927170868,139.2,134.85,123.35
0.610195530726257,0.6223463687150839,0.6547486033519553,139.55,135.2,123.6
0.6103064066852368,0.6222841225626741,0.6547353760445682,139.9,135.6,123.95
0.6101388888888889,0.6224999999999999,0.6547222222222222,140.35,135.9,124.3
0.6101108033240997,0.6217451523545707,0.6552631578947368,140.75,136.55,124.45
